,home_team,away_team,home_win,year
22174,DR Congo,Tanzania,-1,2002
22175,Egypt,Senegal,1,2002
22176,Ethiopia,Morocco,-1,2002
22177,Gabon,Kenya,1,2002
22178,Ghana,Zimbabwe,1,2002
22179,Jamaica,Grenada,1,2002
22180,Mauritius,Mozambique,-1,2002
22181,Togo,Liberia,1,2002
22182,Trinidad and Tobago,Saint Kitts and Nevis,1,2002
22183,Tunisia,Guinea,1,2002
22184,Argentina,Venezuela,1,2002
22185,Bolivia,Uruguay,1,2002
22186,Chile,Paraguay,1,2002
22187,Colombia,Ecuador,1,2002
22188,Iceland,Norway,-1,2002
22189,Mozambique,Namibia,-1,2002
22190,Algeria,Benin,1,2002
22191,Angola,Zimbabwe,1,2002
22192,Cameroon,Kenya,-1,2002
22193,DR Congo,Togo,1,2002
22194,Egypt,Ethiopia,1,2002
22195,Gabon,Namibia,-1,2002
22196,Iceland,Faroe Islands,1,2002
22197,Ivory Coast,Mali,1,2002
22198,Liberia,Tanzania,1,2002
22199,Morocco,Senegal,1,2002
22200,Mozambique,Malawi,1,2002
22201,Zambia,Mauritius,1,2002
22202,Zambia,Mozambique,1,2002
22203,Belarus,Israel,-1,2002
22204,Estonia,Faroe Islands,-1,2002
22205,Hungary,Malta,1,2002
22206,Jamaica,Colombia,1,2002
22207,Slovakia,Switzerland,1,2002
22208,Sweden,Lithuania,1,2002
22209,Cameroon,Nigeria,-1,2002
22210,Tunisia,Zambia,1,2002
22211,United States,Ecuador,-1,2002
22212,Cameroon,Zambia,-1,2002
22213,Malawi,Tanzania,-1,2002
22214,Tunisia,Nigeria,1,2002
22215,Costa Rica,El Salvador,-1,2002
22216,South Korea,Brazil,-1,2002
22217,Japan,Brazil,-1,2002
22218,Guinea,Nigeria,1,2002
22219,Burkina Faso,Kenya,-1,2002
22220,Morocco,Gabon,1,2002
22221,South Africa,Congo,1,2002
22222,Zambia,DR Congo,1,2002
22223,Canada,Iran,-1,2002
22224,Egypt,Liberia,1,2002
22225,Ghana,Sierra Leone,-1,2002
22226,Togo,Angola,-1,2002
22227,Tunisia,Namibia,1,2002
22228,Zimbabwe,Cameroon,-1,2002
22229,Greece,Cyprus,1,2002
22230,Latvia,Azerbaijan,-1,2002
22231,Belarus,Sweden,-1,2002
22232,Bosnia and Herzegovina,Denmark,1,2002
22233,Bulgaria,Israel,1,2002
22234,Colombia,Bolivia,1,2002
22235,Czech Republic,Faroe Islands,1,2002
22236,Ecuador,Paraguay,1,2002
22237,Estonia,Austria,-1,2002
22238,Finland,Norway,-1,2002
22239,Hungary,Switzerland,-1,2002
22240,Republic of Ireland,Lithuania,-1,2002
22241,Liechtenstein,Iceland,-1,2002
22242,Northern Ireland,Germany,-1,2002
22243,Portugal,Armenia,1,2002
22244,Romania,North Macedonia,1,2002
22245,Russia,Serbia,-1,2002
22246,Turkey,Wales,1,2002
22247,Ukraine,Albania,1,2002
22248,Uruguay,Chile,1,2002
22249,Venezuela,Peru,-1,2002
22250,Lebanon,Iraq,-1,2002
22251,South Korea,Tajikistan,1,2002
22252,Peru,Colombia,1,2002
22253,Slovakia,Czech Republic,1,2002
22254,Uzbekistan,Yemen,1,2002
22255,South Korea,China PR,-1,2002
22256,Jamaica,Trinidad and Tobago,1,2002
22257,Namibia,Zambia,-1,2002
22258,China PR,Kazakhstan,1,2002
22259,United Arab Emirates,Iran,1,2002
22260,Nepal,Pakistan,-1,2002
22261,Maldives,Bangladesh,-1,2002
22262,Armenia,Albania,1,2002
